n,pi,timeGreedy,DGreedy,timeAgg,DAgg
3,15,0.001,8.843569558462312,0.001,8.843569558462312
3,15,0,7.017597099780538,0,7.017597099780538
5,15,0,6.641392209801088,0,7.495594967115471
5,15,0,6.682723375374254,0,5.209148959576148
7,15,0,9.100346619923267,0,5.860631327371594
7,15,0,3.8599489544131274,0,3.8599489544131274
9,15,0,9.13304314530399,0,12.311748925670031
9,15,0,8.596888703316012,0,9.817929121734325
11,15,0,12.896266103650277,0,7.164096842278816
11,15,0,19.591361996015838,0,18.438438135696785
13,15,0.001,2.7782990901135314,0,6.857283615580098
13,15,0,7.821847995069243,0,7.410030816214144
15,15,0.001,15.127762964240391,0,6.616700429089484
15,15,0,6.862875292624764,0,4.83429310862325
17,15,0.001,8.062651255777784,0,8.062651255777784
17,15,0.001,5.227140400288043,0,6.135588179920749
19,15,0.001,8.988241755274824,0,7.224822169547757
19,15,0.001,4.418974191288651,0,4.418974191288651
21,15,0.004,17.944314096413557,0,9.845524279864868
21,15,0.002,6.601884359854473,0,4.853489938395779
23,15,0,4.54667921083038,0,5.779809419013855
23,15,0,5.809917855234843,0,10.064474655743911
25,15,0,6.246814764454278,0,7.871368628343674
25,15,0.001,7.30929385553906,0,3.7967006325529624
27,15,0,7.0048215215248675,0,7.52527591123112
27,15,0,7.329830980664905,0,6.263782256568298
29,15,0.001,14.461309594130128,0,8.28434475359282
29,15,0,11.915904730934571,0,8.138144445629585
31,15,0.001,23.142879591321147,0,22.764105977992074
31,15,0,2.2582222448776292,0.002,11.653070334082031
33,15,0,6.149419612299056,0,7.069584400340105
33,15,0,11.649715221224916,0.001,10.214372828784057
35,15,0,5.972239752485095,0,5.669869585622209
35,15,0.001,2.8720665020883374,0,5.85148948862718
37,15,0,4.960136162728453,0,2.381600209148658
37,15,0.001,24.528878753740273,0,23.03326821301281
39,15,0,6.698671167934769,0.001,28.482330365839772
39,15,0,15.932584342430204,0,14.198085145700965
41,15,0.001,10.274006232087608,0,4.1216456616483015
41,15,0.001,24.26271515226894,0,16.769819428387656
43,15,0.001,7.862744698569571,0,10.232047003902338
43,15,0.001,12.968816164343721,0,5.5807631254109396
45,15,0.001,6.929870739317444,0,10.367955580101054
45,15,0.001,16.437927263453247,0,13.005348805640764
47,15,0.001,7.928120701425563,0.002,14.561603652186058
47,15,0,36.38394008780878,0.001,2.824719751077552
49,15,0.001,4.010577802581324,0,5.360783454341643
49,15,0.001,10.877049484211213,0,9.983226044670147
51,15,0.001,28.138433065096756,0,15.619923822256226
51,15,0.001,11.959097792760922,0,10.600723272098875
53,15,0.001,4.3943237734012115,0,5.9499774672824515
53,15,0.001,24.374843767424636,0,3.1796413951747553
55,15,0.001,10.52941168766857,0.001,19.62412791734897
55,15,0.001,24.284200428223457,0,24.26809808199576
57,15,0.001,6.161431404036591,0,11.41108079372269
57,15,0.002,9.16956870779346,0,10.28700985964089
59,15,0.002,35.9799972341406,0,15.242682397074347
59,15,0.002,15.888821193083473,0,8.753345289030179
61,15,0.001,14.7841427622093,0,18.941559809815246
61,15,0.002,23.784001523437098,0,15.14202193503128
63,15,0.002,42.570269663900916,0,6.941720204814757
63,15,0.002,11.311190506549096,0,19.753888854473615
65,15,0.002,9.660890214042496,0,5.975006251243286
65,15,0.002,13.799596796611809,0,5.222895819542202
